--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
result/res_AL_cropped_12.png	connor                   	1.0000
result/res_AL_cropped_13.png	sample                   	0.9999
result/res_AL_cropped_14.png	wonderful                	0.9999
result/res_AL_cropped_15.png	drive                    	1.0000
result/res_AL_cropped_16.png	1                        	0.9966
result/res_AL_cropped_17.png	montgomery               	0.9997
result/res_AL_cropped_18.png	al                       	0.9998
result/res_AL_cropped_19.png	361041234                	0.7211
result/res_AL_cropped_20.png	endorsements             	0.9996
result/res_AL_cropped_21.png	restrictions             	0.9993
result/res_AL_cropped_22.png	a                        	1.0000
result/res_AL_cropped_23.png	i                        	0.9750
result/res_AL_cropped_24.png	01052010                 	0.9738
result/res_AL_cropped_25.png	505                      	0.9975
result/res_AL_cropped_26.png	blu                      	0.9997
result/res_AL_cropped_27.png	sexm                     	0.9956
result/res_AL_cropped_28.png	ht                       	0.6699
result/res_AL_cropped_29.png	15s                      	0.4905
result/res_AL_cropped_30.png	eyes                     	0.9994
result/res_AL_cropped_31.png	120                      	0.9985
result/res_AL_cropped_32.png	bln                      	0.9983
result/res_AL_cropped_33.png	hair                     	0.2504
result/res_AL_cropped_34.png	sample                   	0.7040
result/res_AL_cropped_35.png	connormon                	0.1035
result/res_AL_cropped_36.png	colonol                  	0.3656
result/res_AL_cropped_37.png	huch                     	0.5629
result/res_AL_cropped_38.png	180                      	0.0614
result/res_AL_cropped_39.png	mccall                   	0.9909
result/res_AL_cropped_40.png	diractor                 	0.7457
result/res_AL_cropped_41.png	public                   	0.7458
result/res_AL_cropped_42.png	sarely                   	0.4347
result/res_AL_cropped_43.png	of                       	0.9994
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
result/res_AL_cropped_0.png	driver                   	1.0000
result/res_AL_cropped_1.png	license                  	0.9999
result/res_AL_cropped_2.png	alabama                  	0.9988
result/res_AL_cropped_3.png	1234567                  	0.9693
result/res_AL_cropped_4.png	d                        	0.9989
result/res_AL_cropped_5.png	no                       	0.9998
result/res_AL_cropped_6.png	class                    	0.9997
result/res_AL_cropped_7.png	01051988                 	0.2749
result/res_AL_cropped_8.png	01052014                 	0.9711
result/res_AL_cropped_9.png	exp                      	0.9997
result/res_AL_cropped_10.png	d                        	0.3942
result/res_AL_cropped_11.png	ob                       	0.5534
result/res_AL_cropped_12.png	connor                   	1.0000
result/res_AL_cropped_13.png	sample                   	0.9999
result/res_AL_cropped_14.png	wonderful                	0.9999
result/res_AL_cropped_15.png	drive                    	1.0000
result/res_AL_cropped_16.png	1                        	0.9966
result/res_AL_cropped_17.png	montgomery               	0.9997
result/res_AL_cropped_18.png	al                       	0.9998
result/res_AL_cropped_19.png	361041234                	0.7211
result/res_AL_cropped_20.png	endorsements             	0.9996
result/res_AL_cropped_21.png	restrictions             	0.9993
result/res_AL_cropped_22.png	a                        	1.0000
result/res_AL_cropped_23.png	i                        	0.9750
result/res_AL_cropped_24.png	01052010                 	0.9738
result/res_AL_cropped_25.png	505                      	0.9975
result/res_AL_cropped_26.png	blu                      	0.9997
result/res_AL_cropped_27.png	sexm                     	0.9956
result/res_AL_cropped_28.png	ht                       	0.6699
result/res_AL_cropped_29.png	15s                      	0.4905
result/res_AL_cropped_30.png	eyes                     	0.9994
result/res_AL_cropped_31.png	120                      	0.9985
result/res_AL_cropped_32.png	bln                      	0.9983
result/res_AL_cropped_33.png	hair                     	0.2504
result/res_AL_cropped_34.png	sample                   	0.7040
result/res_AL_cropped_35.png	connormon                	0.1035
result/res_AL_cropped_36.png	colonol                  	0.3656
result/res_AL_cropped_37.png	huch                     	0.5629
result/res_AL_cropped_38.png	180                      	0.0614
result/res_AL_cropped_39.png	mccall                   	0.9909
result/res_AL_cropped_40.png	diractor                 	0.7457
result/res_AL_cropped_41.png	public                   	0.7458
result/res_AL_cropped_42.png	sarely                   	0.4347
result/res_AL_cropped_43.png	of                       	0.9994
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
result/res_OK_cropped_0.png	oklahoma                 	0.9995
result/res_OK_cropped_1.png	belong                   	1.0000
result/res_OK_cropped_2.png	to                       	1.0000
result/res_OK_cropped_3.png	belong                   	1.0000
result/res_OK_cropped_4.png	to                       	1.0000
result/res_OK_cropped_5.png	usa                      	1.0000
result/res_OK_cropped_6.png	ahoma                    	0.9995
result/res_OK_cropped_7.png	and                      	0.9970
result/res_OK_cropped_8.png	and                      	1.0000
result/res_OK_cropped_9.png	nd                       	0.9059
result/res_OK_cropped_10.png	w                        	0.9988
result/res_OK_cropped_11.png	oklahoma                 	0.9887
result/res_OK_cropped_12.png	belong                   	1.0000
result/res_OK_cropped_13.png	to                       	1.0000
result/res_OK_cropped_14.png	land                     	1.0000
result/res_OK_cropped_15.png	oklahoma                 	0.9992
result/res_OK_cropped_16.png	oklahoma                 	0.9995
result/res_OK_cropped_17.png	oklahoma                 	0.9993
result/res_OK_cropped_18.png	oklahoma                 	0.9992
result/res_OK_cropped_19.png	oklahoma                 	0.9993
result/res_OK_cropped_20.png	the                      	1.0000
result/res_OK_cropped_21.png	ahoma                    	0.9999
result/res_OK_cropped_22.png	oklahoma                 	0.9986
result/res_OK_cropped_23.png	the                      	1.0000
result/res_OK_cropped_24.png	land                     	1.0000
result/res_OK_cropped_25.png	and                      	1.0000
result/res_OK_cropped_26.png	the                      	1.0000
result/res_OK_cropped_27.png	land                     	1.0000
result/res_OK_cropped_28.png	we                       	1.0000
result/res_OK_cropped_29.png	belong                   	1.0000
result/res_OK_cropped_30.png	to                       	1.0000
result/res_OK_cropped_31.png	is                       	0.9990
result/res_OK_cropped_32.png	grand                    	1.0000
result/res_OK_cropped_33.png	ong                      	0.9844
result/res_OK_cropped_34.png	to                       	1.0000
result/res_OK_cropped_35.png	the                      	1.0000
result/res_OK_cropped_36.png	land                     	1.0000
result/res_OK_cropped_37.png	oklahoma                 	0.9987
result/res_OK_cropped_38.png	oklahoma                 	0.9994
result/res_OK_cropped_39.png	oklahoma                 	0.9993
result/res_OK_cropped_40.png	homa                     	0.7947
result/res_OK_cropped_41.png	oki                      	0.9970
result/res_OK_cropped_42.png	hom                      	0.9996
result/res_OK_cropped_43.png	the                      	1.0000
result/res_OK_cropped_44.png	land                     	1.0000
result/res_OK_cropped_45.png	we                       	0.9997
result/res_OK_cropped_46.png	belong                   	1.0000
result/res_OK_cropped_47.png	to                       	1.0000
result/res_OK_cropped_48.png	is                       	0.9989
result/res_OK_cropped_49.png	grand                    	1.0000
result/res_OK_cropped_50.png	nd                       	0.9946
result/res_OK_cropped_51.png	to                       	1.0000
result/res_OK_cropped_52.png	oklahoma                 	0.9991
result/res_OK_cropped_53.png	oklahoma                 	0.9996
result/res_OK_cropped_54.png	oklahoma                 	0.9993
result/res_OK_cropped_55.png	flong                    	0.5072
result/res_OK_cropped_56.png	the                      	1.0000
result/res_OK_cropped_57.png	lani                     	0.9940
result/res_OK_cropped_58.png	driver                   	1.0000
result/res_OK_cropped_59.png	license                  	0.9999
result/res_OK_cropped_60.png	to                       	1.0000
result/res_OK_cropped_61.png	oklahoma                 	0.9996
result/res_OK_cropped_62.png	oklahoma                 	0.9987
result/res_OK_cropped_63.png	oklahoma                 	0.9994
result/res_OK_cropped_64.png	belong                   	1.0000
result/res_OK_cropped_65.png	the                      	1.0000
result/res_OK_cropped_66.png	land                     	0.7100
result/res_OK_cropped_67.png	land                     	1.0000
result/res_OK_cropped_68.png	relonct                  	0.5366
result/res_OK_cropped_69.png	cr                       	0.7493
result/res_OK_cropped_70.png	klahoma                  	0.9981
result/res_OK_cropped_71.png	oklahoma                 	0.9984
result/res_OK_cropped_72.png	the                      	0.9996
result/res_OK_cropped_73.png	land                     	1.0000
result/res_OK_cropped_74.png	we                       	1.0000
result/res_OK_cropped_75.png	replacement              	0.9999
result/res_OK_cropped_76.png	t99920235                	0.6564
result/res_OK_cropped_77.png	driverslicenseno         	0.1735
result/res_OK_cropped_78.png	doe                      	0.7388
result/res_OK_cropped_79.png	expdate                  	0.6667
result/res_OK_cropped_80.png	lic                      	0.9922
result/res_OK_cropped_81.png	nor                      	0.7623
result/res_OK_cropped_82.png	d                        	0.9893
result/res_OK_cropped_83.png	0911181118               	0.2764
result/res_OK_cropped_84.png	class                    	0.9998
result/res_OK_cropped_85.png	dobi                     	0.9772
result/res_OK_cropped_86.png	bel                      	0.5239
result/res_OK_cropped_87.png	1012012014               	0.9750
result/res_OK_cropped_88.png	812019                   	0.9937
result/res_OK_cropped_89.png	0911                     	0.9855
result/res_OK_cropped_90.png	belong                   	1.0000
result/res_OK_cropped_91.png	issi                     	0.7761
result/res_OK_cropped_92.png	expi                     	0.8805
result/res_OK_cropped_93.png	d                        	0.9432
result/res_OK_cropped_94.png	oklahom                  	0.9993
result/res_OK_cropped_95.png	resignone                	0.2553
result/res_OK_cropped_96.png	belong                   	1.0000
result/res_OK_cropped_97.png	to                       	1.0000
result/res_OK_cropped_98.png	the                      	1.0000
result/res_OK_cropped_99.png	and                      	0.7387
result/res_OK_cropped_100.png	gto                      	0.9811
result/res_OK_cropped_101.png	ow                       	0.9897
result/res_OK_cropped_102.png	we                       	0.9999
result/res_OK_cropped_103.png	nd                       	0.9999
result/res_OK_cropped_104.png	none                     	0.9987
result/res_OK_cropped_105.png	is                       	0.9984
result/res_OK_cropped_106.png	grand                    	1.0000
result/res_OK_cropped_107.png	e                        	0.4076
result/res_OK_cropped_108.png	0                        	0.6943
result/res_OK_cropped_109.png	oki                      	0.9401
result/res_OK_cropped_110.png	homa                     	0.9999
result/res_OK_cropped_111.png	oklahoma                 	0.9997
result/res_OK_cropped_112.png	ia                       	0.5490
result/res_OK_cropped_113.png	emplate                  	0.9997
result/res_OK_cropped_114.png	psd                      	0.3156
result/res_OK_cropped_115.png	nd                       	0.9998
result/res_OK_cropped_116.png	and                      	1.0000
result/res_OK_cropped_117.png	the                      	1.0000
result/res_OK_cropped_118.png	land                     	1.0000
result/res_OK_cropped_119.png	we                       	0.9983
result/res_OK_cropped_120.png	be                       	1.0000
result/res_OK_cropped_121.png	tyree                    	1.0000
result/res_OK_cropped_122.png	is                       	0.9349
result/res_OK_cropped_123.png	oklahom                  	0.9958
result/res_OK_cropped_124.png	oki                      	0.8640
result/res_OK_cropped_125.png	homa                     	0.9999
result/res_OK_cropped_126.png	oklahoma                 	0.9993
result/res_OK_cropped_127.png	gto                      	0.9918
result/res_OK_cropped_128.png	okla                     	0.9932
result/res_OK_cropped_129.png	ioma                     	0.9591
result/res_OK_cropped_130.png	homa                     	0.9999
result/res_OK_cropped_131.png	i                        	0.3471
result/res_OK_cropped_132.png	we                       	0.9994
result/res_OK_cropped_133.png	know                     	0.9997
result/res_OK_cropped_134.png	we                       	0.9996
result/res_OK_cropped_135.png	belong                   	1.0000
result/res_OK_cropped_136.png	to                       	1.0000
result/res_OK_cropped_137.png	land                     	0.9993
result/res_OK_cropped_138.png	and                      	1.0000
result/res_OK_cropped_139.png	land                     	1.0000
result/res_OK_cropped_140.png	we                       	0.9998
result/res_OK_cropped_141.png	om                       	0.9922
result/res_OK_cropped_142.png	the                      	1.0000
result/res_OK_cropped_143.png	the                      	1.0000
result/res_OK_cropped_144.png	be                       	0.9997
result/res_OK_cropped_145.png	nd                       	0.9998
result/res_OK_cropped_146.png	john                     	1.0000
result/res_OK_cropped_147.png	ong                      	0.9880
result/res_OK_cropped_148.png	to                       	1.0000
result/res_OK_cropped_149.png	is                       	0.9958
result/res_OK_cropped_150.png	grand                    	1.0000
result/res_OK_cropped_151.png	oklahoma                 	0.9994
result/res_OK_cropped_152.png	oklahoma                 	0.9994
result/res_OK_cropped_153.png	oklahoma                 	0.9994
result/res_OK_cropped_154.png	okla                     	0.9984
result/res_OK_cropped_155.png	we                       	0.9996
result/res_OK_cropped_156.png	know                     	0.9995
result/res_OK_cropped_157.png	we                       	0.9997
result/res_OK_cropped_158.png	belong                   	1.0000
result/res_OK_cropped_159.png	to                       	1.0000
result/res_OK_cropped_160.png	the                      	1.0000
result/res_OK_cropped_161.png	land                     	1.0000
result/res_OK_cropped_162.png	and                      	1.0000
result/res_OK_cropped_163.png	the                      	1.0000
result/res_OK_cropped_164.png	land                     	1.0000
result/res_OK_cropped_165.png	we                       	0.9994
result/res_OK_cropped_166.png	be                       	0.9986
result/res_OK_cropped_167.png	toisg                    	0.9731
result/res_OK_cropped_168.png	nd                       	0.9989
result/res_OK_cropped_169.png	sw                       	0.9998
result/res_OK_cropped_170.png	pennsylvania             	0.9999
result/res_OK_cropped_171.png	oma                      	0.9993
result/res_OK_cropped_172.png	oklahoma                 	0.9995
result/res_OK_cropped_173.png	okla                     	0.9993
result/res_OK_cropped_174.png	oklah                    	0.9993
result/res_OK_cropped_175.png	1303                     	0.9965
result/res_OK_cropped_176.png	o                        	0.7925
result/res_OK_cropped_177.png	and                      	1.0000
result/res_OK_cropped_178.png	the                      	1.0000
result/res_OK_cropped_179.png	land                     	1.0000
result/res_OK_cropped_180.png	we                       	1.0000
result/res_OK_cropped_181.png	be                       	0.9969
result/res_OK_cropped_182.png	and                      	1.0000
result/res_OK_cropped_183.png	8                        	0.3568
result/res_OK_cropped_184.png	lawton                   	0.9988
result/res_OK_cropped_185.png	ok                       	0.9973
result/res_OK_cropped_186.png	73501                    	0.9940
result/res_OK_cropped_187.png	ma                       	1.0000
result/res_OK_cropped_188.png	oklahoma                 	0.9997
result/res_OK_cropped_189.png	oklahoma                 	0.9996
result/res_OK_cropped_190.png	okla                     	0.9992
result/res_OK_cropped_191.png	oma                      	0.9272
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
result/res_OK_cropped_192.png	the                      	1.0000
result/res_OK_cropped_193.png	land                     	1.0000
result/res_OK_cropped_194.png	and                      	1.0000
result/res_OK_cropped_195.png	the                      	1.0000
result/res_OK_cropped_196.png	land                     	1.0000
result/res_OK_cropped_197.png	we                       	0.9998
result/res_OK_cropped_198.png	be                       	1.0000
result/res_OK_cropped_199.png	samph                    	0.8037
result/res_OK_cropped_200.png	klahoma                  	0.9973
result/res_OK_cropped_201.png	oklah                    	0.9994
result/res_OK_cropped_202.png	aho                      	0.9985
result/res_OK_cropped_203.png	oki                      	0.9876
result/res_OK_cropped_204.png	beips                    	0.1279
result/res_OK_cropped_205.png	t999202357               	0.2704
result/res_OK_cropped_206.png	ah                       	0.9982
result/res_OK_cropped_207.png	ng                       	0.9994
result/res_OK_cropped_208.png	to                       	1.0000
result/res_OK_cropped_209.png	the                      	1.0000
result/res_OK_cropped_210.png	la                       	0.9996
result/res_OK_cropped_211.png	the                      	1.0000
result/res_OK_cropped_212.png	gra                      	0.9999
result/res_OK_cropped_213.png	oklahoma                 	0.9990
result/res_OK_cropped_214.png	oklahoma                 	0.9996
result/res_OK_cropped_215.png	ahoma                    	0.9999
result/res_OK_cropped_216.png	oki                      	0.8633
result/res_OK_cropped_217.png	know                     	0.9998
result/res_OK_cropped_218.png	belong                   	1.0000
result/res_OK_cropped_219.png	to                       	1.0000
result/res_OK_cropped_220.png	and                      	1.0000
result/res_OK_cropped_221.png	the                      	1.0000
result/res_OK_cropped_222.png	land                     	1.0000
result/res_OK_cropped_223.png	dl                       	0.6592
result/res_OK_cropped_224.png	the                      	0.9978
result/res_OK_cropped_225.png	sex                      	1.0000
result/res_OK_cropped_226.png	is                       	0.9997
result/res_OK_cropped_227.png	gran                     	0.9923
result/res_OK_cropped_228.png	ahoma                    	0.9998
result/res_OK_cropped_229.png	oma                      	0.9992
result/res_OK_cropped_230.png	okla                     	0.9785
result/res_OK_cropped_231.png	belo                     	1.0000
result/res_OK_cropped_232.png	hgt                      	0.9973
result/res_OK_cropped_233.png	wgt                      	0.8576
result/res_OK_cropped_234.png	eyes                     	1.0000
result/res_OK_cropped_235.png	ahoma                    	1.0000
result/res_OK_cropped_236.png	hom                      	0.9998
result/res_OK_cropped_237.png	to                       	1.0000
result/res_OK_cropped_238.png	and                      	1.0000
result/res_OK_cropped_239.png	the                      	1.0000
result/res_OK_cropped_240.png	5c10                     	0.4792
result/res_OK_cropped_241.png	haz                      	0.9997
result/res_OK_cropped_242.png	landm                    	0.9915
result/res_OK_cropped_243.png	165                      	0.9985
result/res_OK_cropped_244.png	lb                       	0.7568
result/res_OK_cropped_245.png	the                      	1.0000
result/res_OK_cropped_246.png	bei                      	0.7519
result/res_OK_cropped_247.png	gr                       	0.9990
result/res_OK_cropped_248.png	oklahon                  	0.9746
result/res_OK_cropped_249.png	ma                       	1.0000
result/res_OK_cropped_250.png	okl                      	0.9946
result/res_OK_cropped_251.png	oklahoma                 	0.9987
result/res_OK_cropped_252.png	oklahoma                 	0.9966
result/res_OK_cropped_253.png	know                     	0.9997
result/res_OK_cropped_254.png	to                       	0.9999
result/res_OK_cropped_255.png	and                      	1.0000
result/res_OK_cropped_256.png	the                      	1.0000
result/res_OK_cropped_257.png	land                     	1.0000
result/res_OK_cropped_258.png	ahomi                    	0.4175
result/res_OK_cropped_259.png	we                       	1.0000
result/res_OK_cropped_260.png	the                      	0.4110
result/res_OK_cropped_261.png	wf                       	0.7574
result/res_OK_cropped_262.png	elong                    	0.9922
result/res_OK_cropped_263.png	to                       	1.0000
result/res_OK_cropped_264.png	belong                   	1.0000
result/res_OK_cropped_265.png	to                       	1.0000
result/res_OK_cropped_266.png	is                       	0.9984
result/res_OK_cropped_267.png	grand                    	1.0000
result/res_OK_cropped_268.png	oklahoma                 	0.9994
result/res_OK_cropped_269.png	oklahoma                 	0.9993
result/res_OK_cropped_270.png	we                       	0.5886
result/res_OK_cropped_271.png	know                     	0.9997
result/res_OK_cropped_272.png	the                      	1.0000
result/res_OK_cropped_273.png	nd                       	0.9999
result/res_OK_cropped_274.png	and                      	1.0000
result/res_OK_cropped_275.png	the                      	1.0000
result/res_OK_cropped_276.png	land                     	1.0000
result/res_OK_cropped_277.png	we                       	1.0000
result/res_OK_cropped_278.png	oklahoma                 	0.9983
